,Gamma,Sum rate,Sum rate BS0,Sum rate BS1,Min rate BS0,Min rate BS1,Mean rate BS0,Mean rate BS1,Jain's index,Cost BS0,Costs BS1,#RISs allocated BS0,#RIS allocated BS1
0.0,0.0000,11.7350,5.8383,5.8967,0.1110,0.5617,0.4263,1.1303,0.8447,1.0015,0.9815,3.8600,3.4950
0.2,0.2000,11.7730,5.7703,6.0027,0.1098,0.5646,0.4216,1.1534,0.8377,0.9487,1.0292,3.9800,3.3550
0.4,0.4000,11.8414,5.7554,6.0860,0.1092,0.5808,0.4208,1.1720,0.8328,0.9193,1.0685,4.1300,3.2650
0.6,0.6000,11.8817,5.7415,6.1402,0.1080,0.5905,0.4190,1.1822,0.8311,0.9190,1.0557,4.2900,3.1750
0.8,0.8000,11.8309,5.7408,6.0902,0.1073,0.5864,0.4187,1.1731,0.8329,0.8867,1.0125,4.4050,3.0300
1.0,1.0000,11.8264,5.7341,6.0923,0.1068,0.5863,0.4183,1.1727,0.8324,0.8392,1.0207,4.5250,2.9800
1.5,1.5000,11.8670,5.6911,6.1759,0.1065,0.6084,0.4150,1.1925,0.8276,0.8272,1.0462,4.7650,2.9150
2.0,2.0000,11.8977,5.7103,6.1874,0.1062,0.5980,0.4167,1.1899,0.8280,0.8340,1.0558,4.9750,2.8500
3.0,3.0000,11.9228,5.7278,6.1950,0.1052,0.5952,0.4185,1.1948,0.8284,0.8032,1.0615,5.1800,2.7750
5.0,5.0000,11.9051,5.7463,6.1588,0.1095,0.5830,0.4194,1.1889,0.8304,0.7807,1.0793,5.3600,2.6950
