,Gamma,Sum rate,Min rate BS0,Min rate BS1,Mean rate BS0,Mean rate BS1,Jain's index,Cost BS0,Costs BS1,#RISs allocated BS0,#RIS allocated BS1
0.0,0.0000,4.9407,0.0615,0.3949,0.3523,0.9817,0.8433,0.0625,0.0628,1.2150,1.0450
0.2,0.2000,4.8907,0.0681,0.3148,0.3693,0.8953,0.8697,0.0788,0.0515,1.5550,0.8400
0.4,0.4000,4.8263,0.0752,0.2623,0.3797,0.8187,0.8904,0.0955,0.0355,1.8700,0.7000
0.6,0.6000,4.7775,0.0866,0.2160,0.3960,0.7323,0.9183,0.1187,0.0380,2.3600,0.5700
0.8,0.8000,4.7270,0.0948,0.1911,0.4069,0.6756,0.9368,0.1437,0.0327,2.8700,0.4600
1.0,1.0000,4.6894,0.1020,0.1807,0.4148,0.6440,0.9454,0.1683,0.0287,3.3400,0.3850
1.5,1.5000,4.6890,0.1172,0.1614,0.4297,0.6055,0.9552,0.2132,0.0265,4.2300,0.3400
2.0,2.0000,4.7162,0.1285,0.1569,0.4409,0.5913,0.9564,0.2513,0.0260,4.9950,0.3300
3.0,3.0000,4.7161,0.1367,0.1547,0.4475,0.5790,0.9551,0.3002,0.0172,5.9850,0.3200
5.0,5.0000,4.7055,0.1502,0.1532,0.4547,0.5631,0.9537,0.3560,0.0178,7.1050,0.3400
