,Gamma,Sum rate,Sum rate BS0,Sum rate BS1,Min rate BS0,Min rate BS1,Mean rate BS0,Mean rate BS1,Jain's index,Cost BS0,Costs BS1,#RISs allocated BS0,#RIS allocated BS1
0.0,0.0000,11.8058,5.8870,5.9187,0.1123,0.5534,0.4295,1.1327,0.8481,0.5215,0.4942,4.1550,2.7850
0.2,0.2000,11.7377,6.1486,5.5891,0.1266,0.4883,0.4476,1.0615,0.8710,0.6685,0.3967,4.7950,2.3800
0.4,0.4000,11.6845,6.2479,5.4367,0.1318,0.4266,0.4542,1.0171,0.8808,0.7330,0.3652,5.2600,2.1700
0.6,0.6000,11.6954,6.2847,5.4108,0.1363,0.4132,0.4574,1.0091,0.8827,0.7500,0.3590,5.7250,2.0650
0.8,0.8000,11.6456,6.2914,5.3543,0.1388,0.3916,0.4579,0.9963,0.8845,0.7518,0.3527,6.0850,1.9850
1.0,1.0000,11.6223,6.3050,5.3173,0.1394,0.3888,0.4592,0.9929,0.8877,0.7590,0.3415,6.4150,1.9000
1.5,1.5000,11.5376,6.3385,5.1991,0.1439,0.3564,0.4614,0.9521,0.8966,0.7785,0.3377,6.8850,1.7800
2.0,2.0000,11.3510,6.3459,5.0051,0.1462,0.3207,0.4618,0.9084,0.9055,0.7867,0.3098,7.2450,1.6650
3.0,3.0000,11.1441,6.3624,4.7817,0.1473,0.2947,0.4632,0.8667,0.9160,0.7953,0.2735,7.5850,1.4700
5.0,5.0000,11.0259,6.3781,4.6478,0.1508,0.2759,0.4644,0.8394,0.9222,0.7880,0.2462,8.0000,1.3800
